InputID,TargetID,Distance
Arbor Oaks,Parking lot 30,0.00159112493414
Brazos House,Parking lot 47,0.00271313472534
Arlington Hall,Parking lot 47,0.00315137554608
Business Building,Parking lot 47,0.00149686354236
Campus Center,Parking lot33,0.00216270224986
Central Library,Parking lot 47,0.00286078301373
Carlisle Hall,Parking lot 47,0.00325946692942
Chemistry & Physics Building,Parking lot 47,0.00257579882992
Chemistry Research Building,Parking lot 47,0.00322728652933
College Park Center,Parking lot 47,0.00328391311038
College Hall,Parking lot 47,0.00284212321195
Continuing Education,Parking Lot 52,0.00239922198282
Cooper Chase,Parking lot33,0.00218053363486
Dan Dipert Welcome Center,Parking lot 47,0.00413905291619
Davis Hall,Parking lot33,0.00425556101303
Engineering Lab Building,Parking Lot 36,0.00212524755791
Civil Engineering Lab Building,Parking lot 30,0.00689819949083
Engineering Research Building,Parking Lot 36,0.00126462592824
General Academic Classroom Building,Parking Lot 36,0.000608230517419
Geoscience,Parking Lot 36,0.00287108003094
Greek Houses,Parking lot 30,0.00342009215977
Lipscomb Hall,Parking lot 47,0.00249602154925
Hammond Hall,Parking lot 47,0.00205414824672
Health Center,Parking lot 47,0.00228257156804
Kalpana Chawla Hall,Parking lot 47,0.0011172254199
Life Sciences Building,Parking lot 47,0.00233952158935
Maverick Parking Garage,Parking lot 47,0.0016793033694
Maverick Stadium,Parking lot 30,0.00711908674831
Meadow Run,Parking lot 30,0.0016416325146
Nanotech Building,Parking lot33,0.00231717991942
Nedderman Hall,Parking Lot 36,0.00195060387175
Park South,Parking lot 47,0.00445714269175
Park,Parking lot 47,0.00551996828513
Physical Education Building,Parking lot 30,0.00203857442925
Pickard Hall,Parking lot 47,0.0011971940688
Preston Hall,Parking Lot 36,0.00356003342645
Ransom Hall,Parking lot 47,0.00318778748351
Social Work Complex,Parking Lot 36,0.000892593855001
Science Hall,Parking Lot 36,0.0037517845306
The Lofts,Parking lot 47,0.00492462754185
Timber Brook,Parking lot33,0.0018502968383
Trimble Hall,Parking lot 47,0.00211482017957
University Hall,Parking Lot 49,0.00321188410828
Trinity House,Parking lot 30,0.00275902615434
University Center,Parking lot 47,0.00345126696058
University Police,Parking lot 30,0.00477911170824
UTA Bookstore,Parking Lot 36,0.00401349672392
University Village,Parking lot 30,0.000888695650811
Vandergriff Hall North,Parking lot 47,0.0048791428797
Woolf Hall,Parking Lot 36,0.00289031064934
Vandergriff Hall South,Parking lot 47,0.0040075757402
Architecture,Parking lot33,0.00259916258363
Maverick Activities Center,Parking lot33,0.00147052193229
Fine Arts Building,Parking lot33,0.00347770476629
Smart hospital,Parking lot33,0.00348596607049
Swift Center,Parking lot 30,0.00296069945053
texas hall,Parking lot33,0.00424674030573
